Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0.0,Albania,Maize,1990,36613.0,1485.0,121.0,16.37
1.0,Albania,Potatoes,1990,66667.0,1485.0,121.0,16.37
2.0,Albania,"Rice, paddy",1990,23333.0,1485.0,121.0,16.37
3.0,Albania,Sorghum,1990,12500.0,1485.0,121.0,16.37
4.0,Albania,Soybeans,1990,7000.0,1485.0,121.0,16.37
5.0,Albania,Wheat,1990,30197.0,1485.0,121.0,16.37
6.0,Albania,Maize,1991,29068.0,1485.0,121.0,15.36
7.0,Albania,Potatoes,1991,77818.0,1485.0,121.0,15.36
8.0,Albania,"Rice, paddy",1991,28538.0,1485.0,121.0,15.36
9.0,Albania,Sorghum,1991,6667.0,1485.0,121.0,15.36
10.0,Albania,Soybeans,1991,6066.0,1485.0,121.0,15.36
11.0,Albania,Wheat,1991,20698.0,1485.0,121.0,15.36
12.0,Albania,Maize,1992,24876.0,1485.0,121.0,16.06
13.0,Albania,Potatoes,1992,82920.0,1485.0,121.0,16.06
14.0,Albania,"Rice, paddy",1992,40000.0,1485.0,121.0,16.06
15.0,Albania,Sorghum,1992,3747.0,1485.0,121.0,16.06
16.0,Albania,Soybeans,1992,4507.0,1485.0,121.0,16.06
17.0,Albania,Wheat,1992,24388.0,1485.0,121.0,16.06
18.0,Albania,Maize,1993,24185.0,1485.0,121.0,16.05
19.0,Albania,Potatoes,1993,98446.0,1485.0,121.0,16.05
20.0,Albania,"Rice, paddy",1993,41786.0,1485.0,121.0,16.05
21.0,Albania,Soybeans,1993,7998.0,1485.0,121.0,16.05
22.0,Albania,Wheat,1993,29976.0,1485.0,121.0,16.05
23.0,Albania,Maize,1994,25848.0,1485.0,201.0,16.96
24.0,Albania,Potatoes,1994,81404.0,1485.0,201.0,16.96
25.0,Albania,Soybeans,1994,7927.0,1485.0,201.0,16.96
26.0,Albania,Wheat,1994,24745.0,1485.0,201.0,16.96
27.0,Albania,Maize,1995,31300.0,1485.0,251.0,15.67
28.0,Albania,Potatoes,1995,111323.0,1485.0,251.0,15.67
29.0,Albania,Soybeans,1995,11791.0,1485.0,251.0,15.67
30.0,Albania,Wheat,1995,28703.0,1485.0,251.0,15.67
31.0,Albania,Maize,1996,32604.0,1485.0,313.96,15.64
32.0,Albania,Potatoes,1996,106138.0,1485.0,313.96,15.64
33.0,Albania,Soybeans,1996,15480.0,1485.0,313.96,15.64
34.0,Albania,Wheat,1996,21741.0,1485.0,313.96,15.64
35.0,Albania,Maize,1997,31862.0,1485.0,376.93,15.9
36.0,Albania,Potatoes,1997,109874.0,1485.0,376.93,15.9
37.0,Albania,Soybeans,1997,12768.0,1485.0,376.93,15.9
38.0,Albania,Wheat,1997,28516.0,1485.0,376.93,15.9
39.0,Albania,Maize,1998,33416.0,1485.0,439.89,16.27
40.0,Albania,Potatoes,1998,127212.0,1485.0,439.89,16.27
41.0,Albania,Soybeans,1998,14327.0,1485.0,439.89,16.27
42.0,Albania,Wheat,1998,28037.0,1485.0,439.89,16.27
43.0,Albania,Maize,1999,37455.0,1485.0,502.86,16.57
44.0,Albania,Potatoes,1999,142018.0,1485.0,502.86,16.57
45.0,Albania,Soybeans,1999,17143.0,1485.0,502.86,16.57
46.0,Albania,Wheat,1999,24954.0,1485.0,502.86,16.57
47.0,Albania,Maize,2000,38811.0,1485.0,565.82,16.67
48.0,Albania,Potatoes,2000,141228.0,1485.0,565.82,16.67
49.0,Albania,Soybeans,2000,15000.0,1485.0,565.82,16.67
50.0,Albania,Wheat,2000,30455.0,1485.0,565.82,16.67
51.0,Albania,Maize,2001,38135.0,1485.0,628.79,16.59
52.0,Albania,Potatoes,2001,148818.0,1485.0,628.79,16.59
53.0,Albania,Soybeans,2001,20000.0,1485.0,628.79,16.59
54.0,Albania,Wheat,2001,28220.0,1485.0,628.79,16.59
55.0,Albania,Maize,2002,39460.0,1485.0,691.75,16.47
56.0,Albania,Potatoes,2002,153868.0,1485.0,691.75,16.47
57.0,Albania,Soybeans,2002,20000.0,1485.0,691.75,16.47
58.0,Albania,Wheat,2002,31617.0,1485.0,691.75,16.47
59.0,Albania,Maize,2004,46197.0,1485.0,817.68,16.16
60.0,Albania,Potatoes,2004,149346.0,1485.0,817.68,16.16
61.0,Albania,Soybeans,2004,13333.0,1485.0,817.68,16.16
62.0,Albania,Wheat,2004,31130.0,1485.0,817.68,16.16
63.0,Albania,Maize,2005,45442.0,1485.0,880.64,15.67
64.0,Albania,Potatoes,2005,167061.0,1485.0,880.64,15.67
65.0,Albania,Soybeans,2005,17500.0,1485.0,880.64,15.67
66.0,Albania,Wheat,2005,31582.0,1485.0,880.64,15.67
67.0,Albania,Maize,2006,50111.0,1485.0,943.61,15.92
68.0,Albania,Potatoes,2006,170745.0,1485.0,943.61,15.92
69.0,Albania,Soybeans,2006,20000.0,1485.0,943.61,15.92
70.0,Albania,Wheat,2006,30787.0,1485.0,943.61,15.92
71.0,Albania,Maize,2007,46732.0,1485.0,1006.57,16.67
72.0,Albania,Potatoes,2007,188902.0,1485.0,1006.57,16.67
73.0,Albania,Soybeans,2007,20000.0,1485.0,1006.57,16.67
74.0,Albania,Wheat,2007,35496.0,1485.0,1006.57,16.67
75.0,Albania,Maize,2008,50000.0,1485.0,1069.54,16.71
76.0,Albania,Potatoes,2008,193878.0,1485.0,1069.54,16.71
77.0,Albania,Soybeans,2008,20000.0,1485.0,1069.54,16.71
78.0,Albania,Wheat,2008,40168.0,1485.0,1069.54,16.71
79.0,Albania,Maize,2009,55693.0,1485.0,1132.5,16.73
80.0,Albania,Potatoes,2009,219780.0,1485.0,1132.5,16.73
81.0,Albania,Soybeans,2009,16667.0,1485.0,1132.5,16.73
82.0,Albania,Wheat,2009,40229.0,1485.0,1132.5,16.73
83.0,Albania,Maize,2010,66790.0,1485.0,1311.17,16.52
84.0,Albania,Potatoes,2010,231111.0,1485.0,1311.17,16.52
85.0,Albania,Soybeans,2010,16667.0,1485.0,1311.17,16.52
86.0,Albania,Wheat,2010,39905.0,1485.0,1311.17,16.52
87.0,Albania,Maize,2011,59869.0,1485.0,1302.63,16.45
88.0,Albania,Potatoes,2011,242211.0,1485.0,1302.63,16.45
89.0,Albania,Soybeans,2011,18519.0,1485.0,1302.63,16.45
90.0,Albania,Wheat,2011,42301.0,1485.0,1302.63,16.45
91.0,Albania,Maize,2012,67290.0,1485.0,766.25,16.7
92.0,Albania,Potatoes,2012,250538.0,1485.0,766.25,16.7
93.0,Albania,Soybeans,2012,13333.0,1485.0,766.25,16.7
94.0,Albania,Wheat,2012,41096.0,1485.0,766.25,16.7
95.0,Albania,Maize,2013,69533.0,1485.0,982.32,17.41
96.0,Albania,Potatoes,2013,260110.0,1485.0,982.32,17.41
97.0,Albania,Soybeans,2013,10000.0,1485.0,982.32,17.41
98.0,Albania,Wheat,2013,41292.0,1485.0,982.32,17.41
99.0,Algeria,Maize,1990,16500.0,89.0,1828.92,17.48
100.0,Algeria,Potatoes,1990,78936.0,89.0,1828.92,17.48
101.0,Algeria,"Rice, paddy",1990,28000.0,89.0,1828.92,17.48
102.0,Algeria,Sorghum,1990,16571.0,89.0,1828.92,17.48
103.0,Algeria,Wheat,1990,6315.0,89.0,1828.92,17.48
104.0,Algeria,Maize,1991,19231.0,89.0,2461.8,16.26
105.0,Algeria,Potatoes,1991,90747.0,89.0,2461.8,16.26
106.0,Algeria,"Rice, paddy",1991,26786.0,89.0,2461.8,16.26
107.0,Algeria,Sorghum,1991,24231.0,89.0,2461.8,16.26
108.0,Algeria,Wheat,1991,10809.0,89.0,2461.8,16.26
109.0,Algeria,Maize,1992,22828.0,89.0,1215.47,16.27
110.0,Algeria,Potatoes,1992,107917.0,89.0,1215.47,16.27
111.0,Algeria,"Rice, paddy",1992,24733.0,89.0,1215.47,16.27
112.0,Algeria,Sorghum,1992,40000.0,89.0,1215.47,16.27
113.0,Algeria,Wheat,1992,9939.0,89.0,1215.47,16.27
114.0,Algeria,Maize,1993,12500.0,89.0,1021.89,17.0
115.0,Algeria,Potatoes,1993,111215.0,89.0,1021.89,17.0
116.0,Algeria,"Rice, paddy",1993,23111.0,89.0,1021.89,17.0
117.0,Algeria,Sorghum,1993,50000.0,89.0,1021.89,17.0
118.0,Algeria,Wheat,1993,8097.0,89.0,1021.89,17.0
119.0,Algeria,Maize,1994,4512.0,89.0,1255.02,17.88
120.0,Algeria,Potatoes,1994,95078.0,89.0,1255.02,17.88
121.0,Algeria,"Rice, paddy",1994,21374.0,89.0,1255.02,17.88
122.0,Algeria,Wheat,1994,7999.0,89.0,1255.02,17.88
123.0,Algeria,Maize,1995,16115.0,89.0,2697.09,17.36
124.0,Algeria,Potatoes,1995,136768.0,89.0,2697.09,17.36
125.0,Algeria,"Rice, paddy",1995,19598.0,89.0,2697.09,17.36
126.0,Algeria,Sorghum,1995,12667.0,89.0,2697.09,17.36
127.0,Algeria,Wheat,1995,8924.0,89.0,2697.09,17.36
128.0,Algeria,Maize,1996,17154.0,89.0,479.77,16.76
129.0,Algeria,Potatoes,1996,134629.0,89.0,479.77,16.76
